text,label
"本品不能代替药物。请按药品说明书或者在药师指导下购买和使用。",0
"保健食品不是药物，不能代替药物治疗疾病。",0
"本品为化妆品，仅用于皮肤护理。",0
"本品为普通食品，不具有疾病治疗功能。",0
"本品为医疗器械，请在专业人员指导下使用。",0
"本品为特殊医学用途配方食品，适用于特定人群。",0
"本品为处方药，需凭医生处方购买。",0
"提供在线咨询服务。倡导健康生活方式，预防疾病发生。",0
"本品有助于缓解关节不适。辅助改善睡眠。",0
"请在医生或者临床营养师指导下使用。",0
"本品可替代降压药。",1
"治愈晚期癌症可签约有证书。",1
"包治百病，百分百治愈率。",1
"根治、治愈、治愈率、有效率、100%有效。",1
"祖传秘方，特效，神效，奇迹。",1
"国家级、世界级、最高级、第一、唯一。",1
"无需手术，药物溶解结石。",1
"医生都在用的保健产品，专家推荐，千万患者验证。",1
"三天美白，七天换肤。",1
"当天种植，当天就可以吃饭，一颗可用40年。",1
"极速修复眼部状态。全球领先的技术。",1
"杀脚气、杀皮肤真菌、替代降压药。",1
"本品能预防所有癌症，百分百天然。",1
"全国销量第一，限量抢购，最后一天。",1
"诺贝尔奖技术应用于本品，唯一获得国际认证。",1
"激光祛斑，一次彻底。",1
"本品能提高智商。",1
"免费体验，治愈后再付款。",1
"本院为医保定点单位。医生团队具有相应资质。",0
"本品为注射剂，仅供医疗机构使用。",0
"本品为外用药品，禁止内服。",0
"本品为口服液，请直接饮用。",0
"本品为洗发水，请洗头使用。",0
"本品为护肤品，请涂抹于皮肤。",0
"本品为一次性使用产品，请勿重复使用。",0
"本品为无菌产品，请勿破损后使用。",0
"本品为低温保存产品，请冷藏。",0
"本品为有毒产品，远离儿童。",0
"本品为刺激情况，避免接触眼睛。",0
"科学减肥，一生只需一次，减肥涉及三个问题，效果+安全+不反弹。",1
"7D聚拉缇，全球领先的MMFURFSY技术。",1
"注射除皱，A型肉毒毒素，BOTOX，保妥适。",1
